Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
0,2.0,4,14,4,9.9,6.7,8.5,33,196
0,2.4,4,25,4,11.2,7.7,9.6,29,221
0,1.5,4,22,4,6.0,5.8,5.9,48,136
11,3.5,6,15,4,12.7,9.1,11.1,25,255
11,3.5,6,15,4,12.1,8.7,10.6,27,244
2,3.5,6,15,4,11.9,7.7,10.0,28,230
2,3.5,6,15,4,11.8,8.1,10.1,28,232
2,3.7,6,15,4,12.8,9.0,11.1,25,255
2,3.7,6,25,4,13.4,9.5,11.6,24,267
0,2.4,4,14,4,10.6,7.5,9.2,31,212
0,2.4,4,25,4,11.2,8.1,9.8,29,225
0,3.5,6,14,4,12.1,8.3,10.4,27,239
13,1.8,4,8,4,9.7,6.9,8.4,34,193
3,5.9,12,3,4,18.0,12.6,15.6,18,359
10,5.9,12,3,4,18.0,12.6,15.6,18,359
13,4.7,8,9,4,17.4,11.3,14.7,19,338
13,4.7,8,25,4,18.1,12.2,15.4,18,354
0,2.0,4,23,4,9.9,7.4,8.8,32,202
0,2.0,4,17,4,11.5,8.1,10.0,28,230
0,2.0,4,25,4,10.8,7.5,9.3,30,214
10,2.0,4,17,4,11.5,8.1,10.0,28,230
10,2.0,4,25,4,10.8,7.5,9.3,30,214
2,2.0,4,17,4,12.0,8.1,10.2,28,235
2,3.0,6,17,4,12.8,8.6,10.9,26,251
2,3.0,6,17,0,9.8,6.2,8.1,35,217
2,3.0,6,17,4,13.3,8.5,11.2,25,262
2,3.0,6,17,4,13.1,8.8,11.2,25,258
2,4.0,8,17,4,13.7,8.3,11.3,25,265
2,3.0,6,17,0,9.8,6.5,8.4,34,224
1,3.0,6,17,4,13.1,8.8,11.2,25,258
1,4.0,8,17,4,14.7,9.7,12.5,23,288
1,6.3,12,17,4,18.7,11.5,15.5,18,363
1,3.0,6,17,0,9.8,6.5,8.4,34,224
9,2.0,4,17,4,11.8,8.8,10.5,27,242
11,2.0,4,17,4,12.0,8.5,10.4,27,239
11,3.0,6,17,4,12.9,9.2,11.2,25,258
11,3.0,6,17,0,10.2,7.8,9.0,31,244
11,2.0,4,17,4,9.9,8.3,9.2,31,212
12,3.0,6,17,4,15.1,10.9,13.2,21,304
12,3.0,6,17,0,12.4,8.7,10.7,26,290
13,4.2,8,4,4,17.6,11.0,14.6,19,336
13,4.2,8,25,4,21.2,13.4,17.7,16,407
13,5.2,10,4,4,18.2,10.6,14.8,19,347
13,5.2,10,25,4,21.1,13.8,17.8,16,409
10,4.2,8,4,4,15.3,10.9,13.3,21,306
10,4.2,8,4,4,15.2,11.3,13.4,21,308
2,4.0,8,17,4,15.5,8.8,12.5,23,293
0,3.0,6,4,4,13.2,9.2,11.4,25,262
0,3.0,6,25,4,14.6,9.8,12.4,23,285
10,3.0,6,4,4,13.2,9.2,11.4,25,262
10,3.0,6,25,4,14.6,9.8,12.4,23,285
10,3.0,6,4,4,13.3,9.5,11.6,24,267
2,4.0,8,4,4,14.2,9.7,12.2,23,281
2,4.0,8,17,4,15.8,9.2,12.8,22,300
11,3.0,6,17,4,14.9,10.1,12.7,22,292
10,2.0,4,3,4,10.4,7.6,9.1,31,209
13,2.0,4,3,4,10.4,7.6,9.1,31,209
10,2.0,4,3,4,11.5,8.8,10.3,27,237
13,2.0,4,3,4,11.5,8.8,10.3,27,237
10,4.0,8,17,4,16.3,9.8,13.4,21,314
10,6.0,12,17,4,18.8,11.5,15.5,18,356
10,4.0,8,17,4,17.4,10.2,14.2,20,332
10,6.0,12,17,4,20.0,12.2,16.5,17,380
2,6.0,12,17,4,20.3,11.9,16.5,17,388
2,6.8,8,17,4,22.3,14.9,19.0,15,437
0,2.0,4,5,4,10.0,6.5,8.4,34,193
0,2.0,4,25,4,10.4,6.7,8.7,32,200
0,2.0,4,5,4,10.2,7.0,8.8,32,202
0,2.0,4,5,0,7.6,5.5,6.7,42,181
9,2.0,4,5,0,7.6,5.5,6.7,42,181
0,2.0,4,5,4,10.6,7.2,9.1,31,209
1,2.0,4,5,4,10.6,7.2,9.1,31,209
9,2.0,4,5,4,10.6,7.2,9.1,31,209
0,3.0,6,5,4,11.4,7.3,9.6,29,221
0,3.0,6,25,4,11.8,7.9,10.0,28,230
0,3.0,6,5,4,11.7,7.8,9.9,29,228
0,3.0,6,25,4,11.9,8.3,10.3,27,237
1,3.0,6,5,4,11.9,8.0,10.1,28,232
2,2.0,4,5,4,10.2,7.0,8.8,32,202
2,2.0,4,5,4,10.6,7.2,9.1,31,209
